BRAND,MODEL,TRIM,YEAR,IMAGE LINK,NAME,INTERFACE,POWER,CURRENT
Peugeot,e-208 GT,,2019,https://www.evspecifications.com/images/model/c61ca2/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",11 kW,-
Chevrolet,Spark EV,,2014,https://www.evspecifications.com/images/model/72e5af/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",-,-
Chevrolet,Spark EV,,2015,https://www.evspecifications.com/images/model/1e5eb0/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",-,-
BMW,i3,22 kWh,2014,https://www.evspecifications.com/images/model/45207c/640/main.jpg,Onboarch charger,"Type 1 (IEC 62196-3 CC, CCS1)",-,7.4 A
BMW,i3,22 kWh,2014,https://www.evspecifications.com/images/model/45207c/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,7.4 A
BMW,i3,22 kWh,2015,https://www.evspecifications.com/images/model/f7d27d/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,7.4 A
BMW,i3,22 kWh,2015,https://www.evspecifications.com/images/model/f7d27d/640/main.jpg,Onboarch charger,"Type 1 (IEC 62196-3 CC, CCS1)",-,7.4 A
BMW,i3,33 kWh,2017,https://www.evspecifications.com/images/model/d1d77f/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",11 kW,-
BMW,i3,33 kWh,2017,https://www.evspecifications.com/images/model/d1d77f/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",11 kW,-
BMW,i3,33 kWh,2018,https://www.evspecifications.com/images/model/1a2980/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",11 kW,-
BMW,i3,33 kWh,2018,https://www.evspecifications.com/images/model/1a2980/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",11 kW,-
e.GO,Life,20,2019,https://www.evspecifications.com/images/model/dbcba5/640/main.jpg,On-board charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",3.7 kW,16 A
Nissan,Leaf,SL Plus,2019,https://www.evspecifications.com/images/model/78f99b/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",6.6 kW,-
Nissan,Leaf,SL Plus,2019,https://www.evspecifications.com/images/model/78f99b/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL Plus,2019,https://www.evspecifications.com/images/model/78f99b/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",100 kW,-
BMW,i3,22 kWh,2016,https://www.evspecifications.com/images/model/02757e/640/main.jpg,Onboarch charger,"Type 1 (IEC 62196-3 CC, CCS1)",-,7.4 A
BMW,i3,22 kWh,2016,https://www.evspecifications.com/images/model/02757e/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,7.4 A
Nissan,Leaf,SV,2011,https://www.evspecifications.com/images/model/fe9f1/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,SL,2011,https://www.evspecifications.com/images/model/b1e92/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,SL,2011,https://www.evspecifications.com/images/model/b1e92/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Jaguar,I-Pace,,2019,https://www.evspecifications.com/images/model/189c93/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7 kW,-
Jaguar,I-Pace,,2019,https://www.evspecifications.com/images/model/189c93/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",7 kW,-
Tesla,Model 3,Long Range RWD,2017,https://www.evspecifications.com/images/model/e16258/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,40 A
Porsche,Taycan,Turbo,2020,https://www.evspecifications.com/images/model/bd84b2/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",11 kW,-
Porsche,Taycan,Turbo,2020,https://www.evspecifications.com/images/model/bd84b2/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",11 kW,-
Renault,Zoe,Q210,2013,https://www.evspecifications.com/images/model/332384/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",43 kW,-
Tesla,Model S,Standard Range,2019,https://www.evspecifications.com/images/model/d14199/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",11 kW,-
Tesla,Model S,Standard Range,2019,https://www.evspecifications.com/images/model/d14199/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,48 A
Renault,Zoe,Q90,2017,https://www.evspecifications.com/images/model/916086/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",43 kW,-
Renault,Zoe,Swiss Edition,2017,https://www.evspecifications.com/images/model/bd3987/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",22 kW,-
Renault,Zoe,R90,2017,https://www.evspecifications.com/images/model/3d3688/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",22 kW,-
Renault,Zoe,R240,2015,https://www.evspecifications.com/images/model/113985/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",22 kW,-
